pihta	522	77
tähele	522	77
lähme	522	68
martin	522	17
niisiis	521	64
arvad	520	72
omad	519	81
kombel	519	76
köögis	517	68
võimatu	516	73
saime	516	67
pilt	516	74
ülejäänud	515	78
tühjaks	515	79
peaksin	514	74
omal	514	76
seisab	514	71
tekkinud	513	79
luba	510	77
imestas	509	59
istuda	508	81
nagunii	508	52
jüri	508	26
vaikus	507	81
kodust	507	74
naisele	507	64
vaatan	506	74
kasvõi	506	57
armas	505	68
ado	505	2
tubli	505	77
vahet	505	80
uued	505	83
anne	504	40
lugenud	503	77
harjunud	503	82
rahvast	503	72
võtsid	502	73
üritas	501	61
jätkab	501	35
toimus	500	78
vaatasid	499	71
juhtub	499	82
läksime	499	57
pomises	498	49
võimalikult	498	75
musta	498	75
kirjutas	497	75
suitsu	497	67
kuus	495	79
põhjust	495	81
eneken	495	2
mehi	495	79
surus	495	59
tugev	494	80
jäta	493	73
võetud	491	78
pärit	491	70
lähevad	491	76
viskas	491	75
erni	490	2
riided	489	72
alustas	489	68
valesti	488	79
uksest	487	77
kõlas	487	71
külma	487	81
pandi	486	71
pane	486	81
tuul	485	72
oluline	484	77
heaks	484	75
kukkus	484	75
tahtsid	483	75
jõudu	483	75
jäin	482	66
rõõmu	482	76
vajus	482	67
ühtki	482	52
käisime	481	60
olev	481	50
peaksid	481	70
sündinud	480	74
heitis	480	68
võibolla	479	40
toob	478	84
kohas	478	77
must	477	80
olivia	477	5
jõuda	477	82
meelika	477	2
minutit	477	68
uusi	477	78
suri	476	64
mingid	476	72
millele	475	83
kõva	475	77
muide	475	59
hirmu	474	73
igas	473	81
vanemate	473	72
hinges	472	66
ettevaatlikult	472	72
peeter	471	25
direktor	471	36
lauda	470	71
viib	469	74
üksinda	469	67
millegi	469	81
koer	468	72
südame	468	71
meeldinud	467	80
soovi	467	80
vanad	467	78
oo	466	41
tuled	466	71
surm	466	68
kõne	465	78
lubanud	465	73
haige	465	70
silmadega	464	78
16	463	23
sigrid	463	13
teistele	462	82
vee	462	76
sõbranna	461	52
puhtaks	461	73
niigi	461	76
kätlin	461	3
hulgas	460	66
magada	459	75
ajab	459	78
arvanud	458	68
perenaine	458	47
kõrge	457	74
silme	456	66
kanda	456	80
võtan	456	75
julgenud	455	74
sügavalt	455	76
aitäh	455	64
päevad	454	80
õues	454	66
kindlalt	454	79
